task,input_text,output_text,contextual_text
<generate_questions>,"The union was established on 28 May 1975, with the signing of the Treaty of Lagos, with its stated mission to promote economic integration across the region. A revised version of the treaty was agreed and signed on 24 July 1993 in Cotonou. The ECOWAS also serves as a peacekeeping force in the region, with member states occasionally sending joint military forces to intervene in the bloc's member countries at times of political instability and unrest.",When was the treaty revised and accepted by the west african countries?,A revised version of the treaty was agreed and signed on 24 July 1993 in Cotonou.
<generate_questions>,"The Economic Community of West African States (ECOWAS; also known as CEDEAO in French) is a regional political and economic union of fifteen countries located in West Africa. Collectively, these countries comprise an area of 5,114,162 km2 (1,974,589 sq mi), and in 2015 had an estimated population of over 349 million. Considered one of the pillar regional blocs of the continent-wide African Economic Community (AEC), the stated goal of ECOWAS is to achieve ""collective self-sufficiency"" for its member states by creating a single large trade bloc by building a full economic and trading union. The union was established on 28 May 1975, with the signing of the Treaty of Lagos, with its stated mission to promote economic integration across the region.","As at 2015, what was the estimated population size of ECOWAS area?","Collectively, these countries comprise an area of 5,114,162 km2 (1,974,589 sq mi), and in 2015 had an estimated population of over 349 million."
<generate_questions>,"The African Union (AU) is a continental union consisting of 55 member states located on the continent of Africa. The AU was announced in the Sirte Declaration in Sirte, Libya, on 9 September 1999, calling for the establishment of the African Union. The bloc was founded on 26 May 2001 in Addis Ababa, Ethiopia, and launched on 9 July 2002 in Durban, South Africa.",How many countries make up AU?,"The African Union (AU) is a continental union consisting of 55 member states located on the continent of Africa. The AU was announced in the Sirte Declaration in Sirte, Libya, on 9 September 1999, calling for the establishment of the African Union."
<generate_questions>,"The AU was announced in the Sirte Declaration in Sirte, Libya, on 9 September 1999, calling for the establishment of the African Union. The bloc was founded on 26 May 2001 in Addis Ababa, Ethiopia, and launched on 9 July 2002 in Durban, South Africa. The intention of the AU was to replace the Organisation of African Unity (OAU), established on 25 May 1963 in Addis Ababa by 32 signatory governments; the OAU was disbanded on 9 July 2002. The most important decisions of the AU are made by the Assembly of the African Union, a semi-annual meeting of the heads of state and government of its member states.",When was the African Union officially launched?,"The bloc was founded on 26 May 2001 in Addis Ababa, Ethiopia, and launched on 9 July 2002 in Durban, South Africa."
<generate_questions>,"The bloc was founded on 26 May 2001 in Addis Ababa, Ethiopia, and launched on 9 July 2002 in Durban, South Africa. The intention of the AU was to replace the Organisation of African Unity (OAU), established on 25 May 1963 in Addis Ababa by 32 signatory governments; the OAU was disbanded on 9 July 2002. The most important decisions of the AU are made by the Assembly of the African Union, a semi-annual meeting of the heads of state and government of its member states. The AU's secretariat, the African Union Commission, is based in Addis Ababa.",When was the AU proposed to replace the Organisation of African Unity (OAU)?,"The intention of the AU was to replace the Organisation of African Unity (OAU), established on 25 May 1963 in Addis Ababa by 32 signatory governments; the OAU was disbanded on 9 July 2002."
<generate_questions>,"The African Union has more than 1.3 billion people and an area of around 29 million km2 (11 million sq mi) and includes popular world landmarks, such as the Sahara and the Nile. The primary working languages are Arabic, English, French, Portuguese, Spanish, and Swahili. Within the African Union, there are official bodies, such as the Peace and Security Council and the Pan-African Parliament.",List of the primary working languages used at the African Union?,"The primary working languages are Arabic, English, French, Portuguese, Spanish, and Swahili."
<generate_questions>,"The most important decisions of the AU are made by the Assembly of the African Union, a semi-annual meeting of the heads of state and government of its member states. The largest city in the AU is Lagos, Nigeria, while the largest urban agglomeration is Cairo, Egypt. The African Union has more than 1.3 billion people and an area of around 29 million km2 (11 million sq mi) and includes popular world landmarks, such as the Sahara and the Nile. The primary working languages are Arabic, English, French, Portuguese, Spanish, and Swahili. Within the African Union, there are official bodies, such as the Peace and Security Council and the Pan-African Parliament.","In total, how many people live within the AU member states?","The largest city in the AU is Lagos, Nigeria, while the largest urban agglomeration is Cairo, Egypt. The African Union has more than 1.3 billion people and an area of around 29 million km2 (11 million sq mi) and includes popular world landmarks, such as the Sahara and the Nile."
<generate_questions>,"Black Adam was originally depicted as a supervillain and the ancient Egyptian predecessor of Captain Marvel, who fought his way to modern times to challenge the hero and his Marvel Family associates. Featured roles in such comic book series as Justice Society of America, Villains United, Infinite Crisis, and 52 have elevated the character's prominence in the DC Universe, culminating with DC's 2021 line-wide Infinite Frontier relaunch, which had the character, now known as Tethon / The Mighty Adam, join the Justice League. In 2009, Black Adam was ranked as IGN's 16th-greatest comic book villain of all time. The character made his cinematic debut in DC League of Super-Pets (2022), voiced by Dwayne Johnson, who subsequently starred as the character in live-action in the DC Extended Universe (DCEU) film Black Adam (2022), after facially cameoing in Shazam! (2019).",Who was the 16th-greatest comic book villain of all time?,"Featured roles in such comic book series as Justice Society of America, Villains United, Infinite Crisis, and 52 have elevated the character's prominence in the DC Universe, culminating with DC's 2021 line-wide Infinite Frontier relaunch, which had the character, now known as Tethon / The Mighty Adam, join the Justice League. In 2009, Black Adam was ranked as IGN's 16th-greatest comic book villain of all time."
<generate_questions>,"Featured roles in such comic book series as Justice Society of America, Villains United, Infinite Crisis, and 52 have elevated the character's prominence in the DC Universe, culminating with DC's 2021 line-wide Infinite Frontier relaunch, which had the character, now known as Tethon/The Mighty Adam, join the Justice League. The character made his cinematic debut in DC League of Super-Pets (2022), voiced by Dwayne Johnson, who subsequently starred as the character in live-action in the DC Extended Universe (DCEU) film Black Adam (2022), after facially cameoing in Shazam! (2019). In Black Adam, Jalon Christian and Uli Latukefu additionally portray Hurut/Teth-Adam: Black Adam's son and the original champion of Kahndaq.",Who voiced the Black Adam character in the 2022 DC League of Super-Pets?,"The character made his cinematic debut in DC League of Super-Pets (2022), voiced by Dwayne Johnson, who subsequently starred as the character in live-action in the DC Extended Universe (DCEU) film Black Adam (2022), after facially cameoing in Shazam! (2019)."
<generate_questions>,"Black Adam (Teth-Adam/Theo Adam) is a character appearing in American comic books published by DC Comics. The character was created by Otto Binder and C. C. Beck, and first appeared in the debut issue of Fawcett Comics' The Marvel Family comic book in December 1945. Since DC Comics licensed and acquired Fawcett's characters in the 1970s, Black Adam has endured as one of the archenemies of the superhero Captain Marvel/Shazam and the Marvel Family (a.k.a. Shazam Family), alongside Doctor Sivana and Mister Mind. Black Adam was originally depicted as a supervillain and the ancient Egyptian predecessor of Captain Marvel, who fought his way to modern times to challenge the hero and his Marvel Family associates.",When did Black Adam made his debut in comics?,"The character was created by Otto Binder and C. C. Beck, and first appeared in the debut issue of Fawcett Comics' The Marvel Family comic book in December 1945."
<generate_questions>,"Black Adam (Teth-Adam/Theo Adam) is a character appearing in American comic books published by DC Comics.  Since DC Comics licensed and acquired Fawcett's characters in the 1970s, Black Adam has endured as one of the archenemies of the superhero Captain Marvel / Shazam and the Marvel Family (a.k.a. Shazam Family), alongside Doctor Sivana and Mister Mind.Black Adam was originally depicted as a supervillain and the ancient Egyptian predecessor of Captain Marvel, who fought his way to modern times to challenge the hero and his Marvel Family associates. Since the turn of the 21st century, however, Black Adam has been redefined by DC Comics writers Jerry Ordway, Geoff Johns, and David S. Goyer as a corrupted antihero attempting to clear his name and reputation. Featured roles in such comic book series as Justice Society of America, Villains United, Infinite Crisis, and 52 have elevated the character's prominence in the DC Universe, culminating with DC's 2021 line-wide Infinite Frontier relaunch, which had the character, now known as Tethon/The Mighty Adam, join the Justice League.",What happened after DC Comics  acquired Fawcett's characters in the early 1970s?,"Since DC Comics licensed and acquired Fawcett's characters in the 1970s, Black Adam has endured as one of the archenemies of the superhero Captain Marvel / Shazam and the Marvel Family (a.k.a. Shazam Family), alongside Doctor Sivana and Mister Mind.Black Adam was originally depicted as a supervillain and the ancient Egyptian predecessor of Captain Marvel, who fought his way to modern times to challenge the hero and his Marvel Family associates."
<generate_questions>,"Black Adam (Teth-Adam/Theo Adam) is a character appearing in American comic books published by DC Comics. The character was created by Otto Binder and C. C. Beck, and first appeared in the debut issue of Fawcett Comics' The Marvel Family comic book in December 1945. Since DC Comics licensed and acquired Fawcett's characters in the 1970s, Black Adam has endured as one of the archenemies of the superhero Captain Marvel/Shazam and the Marvel Family (a.k.a. Shazam Family), alongside Doctor Sivana and Mister Mind.",Who created Black Adam?,"Black Adam (Teth-Adam / Theo Adam) is a character appearing in American comic books published by DC Comics. The character was created by Otto Binder and C. C. Beck, and first appeared in the debut issue of Fawcett Comics' The Marvel Family comic book in December 1945."
<generate_questions>,"Fifty clubs have competed since the inception of the Premier League in 1992: forty-eight English and two Welsh clubs. Seven of them have won the title: Manchester United (13), Manchester City (6), Chelsea (5), Arsenal (3), Blackburn Rovers (1), Leicester City (1) and Liverpool (1).",How many teams have won the EPL since 1992?,"Seven of them have won the title: Manchester United (13), Manchester City (6), Chelsea (5), Arsenal (3), Blackburn Rovers (1), Leicester City (1) and Liverpool (1)."
<generate_questions>,"The Premier League (legal name: The Football Association Premier League Limited) is the highest level of the men's English football league system. Contested by 20 clubs, it operates on a system of promotion and relegation with the English Football League (EFL). Seasons typically run from August to May with each team playing 38 matches (playing all 19 other teams both home and away). Most games are played on Saturday and Sunday afternoons, with occasional weekday evening fixtures.",The english premier league is contested by how many teams?,"Contested by 20 clubs, it operates on a system of promotion and relegation with the English Football League (EFL)."
<generate_questions>,"The Premier League (legal name: The Football Association Premier League Limited) is the highest level of the men's English football league system. Seasons typically run from August to May with each team playing 38 matches (playing all 19 other teams both home and away). Most games are played on Saturday and Sunday afternoons, with occasional weekday evening fixtures. The competition was founded as the FA Premier League on 20 February 1992 following the decision of clubs in the Football League First Division to break away from the Football League, founded in 1888, and take advantage of a lucrative television rights sale to Sky. From 2019 to 2020, the league's accumulated television rights deals were worth around £3.1 billion a year, with Sky and BT Group securing the domestic rights to broadcast 128 and 32 games respectively.",How many matches are played by each of the 20 teams per season?,"Seasons typically run from August to May with each team playing 38 matches (playing all 19 other teams both home and away). Most games are played on Saturday and Sunday afternoons, with occasional weekday evening fixtures."
<generate_questions>,"The competition was founded as the FA Premier League on 20 February 1992 following the decision of clubs in the Football League First Division to break away from the Football League, founded in 1888, and take advantage of a lucrative television rights sale to Sky. From 2019 to 2020, the league's accumulated television rights deals were worth around £3.1 billion a year, with Sky and BT Group securing the domestic rights to broadcast 128 and 32 games respectively. The Premier League is a corporation where chief executive Richard Masters is responsible for its management, whilst the member clubs act as shareholders. Clubs were apportioned central payment revenues of £2.4 billion in 2016–17, with a further £343 million in solidarity payments to English Football League (EFL) clubs.","From 2019 to 2020, how much was the accumulated television rights deals?","From 2019 to 2020, the league's accumulated television rights deals were worth around £3.1 billion a year, with Sky and BT Group securing the domestic rights to broadcast 128 and 32 games respectively."
<generate_questions>,"From 2019 to 2020, the league's accumulated television rights deals were worth around £3.1 billion a year, with Sky and BT Group securing the domestic rights to broadcast 128 and 32 games respectively. The Premier League is a corporation where chief executive Richard Masters is responsible for its management, whilst the member clubs act as shareholders. Clubs were apportioned central payment revenues of £2.4 billion in 2016–17, with a further £343 million in solidarity payments to English Football League (EFL) clubs. The Premier League is the most-watched sports league in the world, broadcast in 212 territories to 643 million homes and a potential TV audience of 4.7 billion people.",What is the name of the corporation that oversees the Premier League's management?,"The Premier League is a corporation where chief executive Richard Masters is responsible for its management, whilst the member clubs act as shareholders."
<generate_questions>,"Clubs were apportioned central payment revenues of £2.4 billion in 2016–17, with a further £343 million in solidarity payments to English Football League (EFL) clubs. The Premier League is the most-watched sports league in the world, broadcast in 212 territories to 643 million homes and a potential TV audience of 4.7 billion people. For the 2018–19 season, the average Premier League match attendance was at 38,181, second to the German Bundesliga's 43,500, while aggregated attendance across all matches is the highest of any association football league at 14,508,981. Most stadium occupancies are near capacity.",How many territories does the Premier League broadcast in?,"The Premier League is the most-watched sports league in the world, broadcast in 212 territories to 643 million homes and a potential TV audience of 4.7 billion people."
<generate_questions>,"Clubs were apportioned central payment revenues of £2.4 billion in 2016–17, with a further £343 million in solidarity payments to English Football League (EFL) clubs. For the 2018–19 season, the average Premier League match attendance was at 38,181, second to the German Bundesliga's 43,500, while aggregated attendance across all matches is the highest of any association football league at 14,508,981. Most stadium occupancies are near capacity. The Premier League ranks first in the UEFA coefficients of leagues based on performances in European competitions over the past five seasons as of 2021. The English top-flight has produced the second-highest number of UEFA Champions League/European Cup titles, with five English clubs having won fourteen European trophies in total.",What was the average Premier League match attendance in 2021?,"For the 2018–19 season, the average Premier League match attendance was at 38,181, second to the German Bundesliga's 43,500, while aggregated attendance across all matches is the highest of any association football league at 14,508,981. Most stadium occupancies are near capacity."
<generate_questions>,"In time, this uncontrolled growth can metastasize (spreading beyond the lung) either by direct extension, by entering the lymphatic circulation, or via hematogenous, bloodborne spread – into nearby tissue or other, more distant parts of the body. The two main types are small-cell lung carcinoma (SCLC) and non-small-cell lung carcinoma (NSCLC). The most common symptoms are coughing (including coughing up blood), weight loss, shortness of breath, and chest pains. The vast majority (85%) of cases of lung cancer are due to long-term tobacco smoking. About 10–15% of cases occur in people who have never smoked.",What are the two main types of lung cancer and what are some of the symptoms?,"The two main types are small-cell lung carcinoma (SCLC) and non-small-cell lung carcinoma (NSCLC). The most common symptoms are coughing (including coughing up blood), weight loss, shortness of breath, and chest pains."
<generate_questions>,"The two main types are small-cell lung carcinoma (SCLC) and non-small-cell lung carcinoma (NSCLC). The vast majority (85%) of cases of lung cancer are due to long-term tobacco smoking. About 10–15% of cases occur in people who have never smoked. These cases are often caused by a combination of genetic factors and exposure to radon gas, asbestos, second-hand smoke, or other forms of air pollution. Lung cancer may be seen on chest radiographs and computed tomography (CT) scans. The diagnosis is confirmed by biopsy, which is usually performed by bronchoscopy or CT-guidance.",What percentage of cases of lung cancer are due to long-term tobacco smoking and what percentage is not due to smoking?,"The vast majority (85%) of cases of lung cancer are due to long-term tobacco smoking. About 10–15% of cases occur in people who have never smoked. These cases are often caused by a combination of genetic factors and exposure to radon gas, asbestos, second-hand smoke, or other forms of air pollution."
<generate_questions>,"Lung carcinomas derive from transformed, malignant cells that originate as epithelial cells, or from tissues composed of epithelial cells. Lymphomas and melanomas (from lymphoid and melanocyte cell lineages) can also rarely result in lung cancer.  In time, this uncontrolled growth can metastasize (spreading beyond the lung) either by direct extension, by entering the lymphatic circulation, or via hematogenous, bloodborne spread – into nearby tissue or other, more distant parts of the body. Most cancers that start in the lung, known as primary lung cancers, are carcinomas. The two main types are small-cell lung carcinoma (SCLC) and non-small-cell lung carcinoma (NSCLC).",Is it possible for Lymphomas and melanomas to result in lung cancer?,"Lymphomas and melanomas (from lymphoid and melanocyte cell lineages) can also rarely result in lung cancer.  In time, this uncontrolled growth can metastasize (spreading beyond the lung) either by direct extension, by entering the lymphatic circulation, or via hematogenous, bloodborne spread – into nearby tissue or other, more distant parts of the body."
<generate_questions>,"About 10–15% of cases occur in people who have never smoked. Lung cancer may be seen on chest radiographs and computed tomography (CT) scans.  The diagnosis is confirmed by biopsy, which is usually performed by bronchoscopy or CT-guidance. The major method of prevention is the avoidance of risk factors, including smoking and air pollution. Treatment and long-term outcomes depend on the type of cancer, the stage (degree of spread), and the person's overall health.",How is lung cancer detected?,"Lung cancer may be seen on chest radiographs and computed tomography (CT) scans.  The diagnosis is confirmed by biopsy, which is usually performed by bronchoscopy or CT-guidance."
<generate_questions>,"Treatment and long-term outcomes depend on the type of cancer, the stage (degree of spread), and the person's overall health. Common treatments include surgery, chemotherapy, and radiotherapy. NSCLC is sometimes treated with surgery, whereas SCLC usually responds better to chemotherapy and radiotherapy. Worldwide in 2020, lung cancer occurred in 2.2 million people and resulted in 1.8 million deaths. It is the most common cause of cancer-related death in both men and women.",What is the most common treatment for NSCLC?,"Common treatments include surgery, chemotherapy, and radiotherapy. NSCLC is sometimes treated with surgery, whereas SCLC usually responds better to chemotherapy and radiotherapy."
<generate_questions>,"It is the most common cause of cancer-related death in both men and women. In most countries the five-year survival rate is around 10 to 20%, while in Japan it is 33%, in Israel 27%, and in the Republic of Korea 25%. Outcomes typically are worse in the developing world.","Across the world, what is the survival rate of the cancer of the lungs?","In most countries the five-year survival rate is around 10 to 20%, while in Japan it is 33%, in Israel 27%, and in the Republic of Korea 25%. Outcomes typically are worse in the developing world."
<generate_questions>,"Real Madrid was recognised as the FIFA Club of the 20th Century on 11 December 2000 with 42.35% of the vote, and received the FIFA Centennial Order of Merit on 20 May 2004.  In June 2017, Madrid succeeded in becoming the first club to win consecutive titles in the Champions League era. In May 2022, they won a record-extending fourteenth European Cup, making it five titles in the last nine seasons.  As of May 2022, Real Madrid are ranked fourth behind Bayern Munich, Manchester City and Liverpool in the UEFA club rankings.",How many titles did Real Madrid win in the Champions League era?,"In June 2017, Madrid succeeded in becoming the first club to win consecutive titles in the Champions League era. In May 2022, they won a record-extending fourteenth European Cup, making it five titles in the last nine seasons."
<generate_questions>,"In domestic football, the club has won 68 trophies; a record 35 La Liga titles, 19 Copa del Rey, 12 Supercopa de España, a Copa Eva Duarte, and a Copa de la Liga. In European football, Real Madrid have won a record 21 trophies; a record 14 European Cup/UEFA Champions League titles, two UEFA Cups, and a record five UEFA Super Cups. In worldwide competitions, they have achieved a record seven club world championships. Real Madrid was recognised as the FIFA Club of the 20th Century on 11 December 2000 with 42.35% of the vote, and received the FIFA Centennial Order of Merit on 20 May 2004.","With respect to european football, how many trophies has Real Madrid won?","In European football, Real Madrid have won a record 21 trophies; a record 14 European Cup/UEFA Champions League titles, two UEFA Cups, and a record five UEFA Super Cups."
<generate_questions>,"Unlike most European sporting entities, Real Madrid's members (socios) have owned and operated the club throughout its history. The club was estimated to be worth $5.1 billion in 2022, making it the world's most valuable football team. In 2021, it was the second highest-earning football club in the world, with an annual revenue of €640.7 million. Being one of the three founding members of La Liga that have never been relegated from the top division since its inception in 1929 (along with Athletic Bilbao and Barcelona), Real Madrid holds many long-standing rivalries, most notably El Clásico with Barcelona and El Derbi Madrileño with Atlético Madrid. The club established itself as a major force in both Spanish and European football during the 1950s and 60s, winning five consecutive and six overall European Cups and reaching a further two finals.",Summarise the recent financial reports of Real Madrid FC.?,"The club was estimated to be worth $5.1 billion in 2022, making it the world's most valuable football team. In 2021, it was the second highest-earning football club in the world, with an annual revenue of €640.7 million."
<generate_questions>,"The club was estimated to be worth $5.1 billion in 2022, making it the world's most valuable football team. Being one of the three founding members of La Liga that have never been relegated from the top division since its inception in 1929 (along with Athletic Bilbao and Barcelona), Real Madrid holds many long-standing rivalries, most notably El Clásico with Barcelona and El Derbi Madrileño with Atlético Madrid. The club established itself as a major force in both Spanish and European football during the 1950s and 60s, winning five consecutive and six overall European Cups and reaching a further two finals. This success was replicated on the domestic front, with Madrid winning twelve league titles in the span of 16 years. This team, which included Alfredo Di Stéfano, Ferenc Puskás, Francisco Gento, and Raymond Kopa, is considered by some in the sport to be the greatest of all time.",Give a brief history of the club in Spanish football?,"Being one of the three founding members of La Liga that have never been relegated from the top division since its inception in 1929 (along with Athletic Bilbao and Barcelona), Real Madrid holds many long-standing rivalries, most notably El Clásico with Barcelona and El Derbi Madrileño with Atlético Madrid. The club established itself as a major force in both Spanish and European football during the 1950s and 60s, winning five consecutive and six overall European Cups and reaching a further two finals."
<generate_questions>,"In European football, Real Madrid have won a record 21 trophies; a record 14 European Cup/UEFA Champions League titles, two UEFA Cups, and a record five UEFA Super Cups. Real Madrid was recognised as the FIFA Club of the 20th Century on 11 December 2000 with 42.35% of the vote, and received the FIFA Centennial Order of Merit on 20 May 2004. The club was also named Best European Club of the 20th Century by the IFFHS on 11 May 2010. In June 2017, Madrid succeeded in becoming the first club to win consecutive titles in the Champions League era. In May 2022, they won a record-extending fourteenth European Cup, making it five titles in the last nine seasons. As of May 2022, Real Madrid are ranked fourth behind Bayern Munich, Manchester City and Liverpool in the UEFA club rankings.",Is Real Madrid the most decorated Spanish team both domestically and internationally?,"Real Madrid was recognised as the FIFA Club of the 20th Century on 11 December 2000 with 42.35% of the vote, and received the FIFA Centennial Order of Merit on 20 May 2004. The club was also named Best European Club of the 20th Century by the IFFHS on 11 May 2010. In June 2017, Madrid succeeded in becoming the first club to win consecutive titles in the Champions League era. In May 2022, they won a record-extending fourteenth European Cup, making it five titles in the last nine seasons."
<generate_questions>,"Heathrow Airport, called London Airport until 1966 and now known as London Heathrow (IATA: LHR, ICAO: EGLL), is a major international airport in London, England. It is the largest of the six international airports serving Greater London (the others being Gatwick, City, Luton, Stansted and Southend). The airport facility is owned and operated by Heathrow Airport Holdings. In 2021, it was the seventh-busiest airport in the world by international passenger traffic and eighth-busiest in Europe by total passenger traffic.",Which airports apart from Luton are part of the 6 international airports serving London?,"It is the largest of the six international airports serving Greater London (the others being Gatwick, City, Luton, Stansted and Southend)."
<generate_questions>,"In 2021, it was the seventh-busiest airport in the world by international passenger traffic and eighth-busiest in Europe by total passenger traffic. Heathrow was founded as a small airfield in 1929 but was developed into a much larger airport after World War II. The airport lies 14 miles (23 kilometres) west of Central London on a site that covers 12.27 square kilometres (4.74 square miles). It was gradually expanded over seventy-five years and now has two parallel east–west runways, four operational passenger terminals and one cargo terminal.",When was Heathrow opened for the first time?,Heathrow was founded as a small airfield in 1929 but was developed into a much larger airport after World War II.
<generate_questions>,"Heathrow was founded as a small airfield in 1929 but was developed into a much larger airport after World War II. The airport lies 14 miles (23 kilometres) west of Central London on a site that covers 12.27 square kilometres (4.74 square miles). It was gradually expanded over seventy-five years and now has two parallel east–west runways, four operational passenger terminals and one cargo terminal. The airport is the primary hub for both British Airways and Virgin Atlantic.",How many square miles is Heathrow Airport located west of Central London?,The airport lies 14 miles (23 kilometres) west of Central London on a site that covers 12.27 square kilometres (4.74 square miles).
<generate_questions>,"It was gradually expanded over seventy-five years and now has two parallel east–west runways, four operational passenger terminals and one cargo terminal. The airport is the primary hub for both British Airways and Virgin Atlantic.",Which airlines has LHR as their primary  hub?,The airport is the primary hub for both British Airways and Virgin Atlantic.
<generate_questions>,"The airport facility is owned and operated by Heathrow Airport Holdings. In 2021, it was the seventh-busiest airport in the world by international passenger traffic and eighth-busiest in Europe by total passenger traffic. Heathrow was founded as a small airfield in 1929 but was developed into a much larger airport after World War II. The airport lies 14 miles (23 kilometres) west of Central London on a site that covers 12.27 square kilometres (4.74 square miles).","With regards to international passenger travel statics across all airport around the globe, what is the rank of LHR?","In 2021, it was the seventh-busiest airport in the world by international passenger traffic and eighth-busiest in Europe by total passenger traffic."
<generate_questions>,"Obama previously served as a U.S. senator from Illinois from 2005 to 2008 and as an Illinois state senator from 1997 to 2004. After graduating from Columbia University in 1983, he worked as a community organizer in Chicago. In 1988, he enrolled in Harvard Law School, where he was the first black president of the Harvard Law Review. After graduating, he became a civil rights attorney and an academic, teaching constitutional law at the University of Chicago Law School from 1992 to 2004. Turning to elective politics, he represented the 13th district in the Illinois Senate from 1997 until 2004, when he ran for the U.S. Senate. Obama received national attention in 2004 with his March Senate primary win, his well-received July Democratic National Convention keynote address, and his landslide November election to the Senate.",What law school did Obama attend in 1988?,"After graduating from Columbia University in 1983, he worked as a community organizer in Chicago. In 1988, he enrolled in Harvard Law School, where he was the first black president of the Harvard Law Review. After graduating, he became a civil rights attorney and an academic, teaching constitutional law at the University of Chicago Law School from 1992 to 2004."
<generate_questions>,"A member of the Democratic Party, he was the first African-American  president of the United States. Obama previously served as a U.S. senator from Illinois from 2005 to 2008 and as an Illinois state senator from 1997 to 2004. Obama was born in Honolulu, Hawaii. After graduating from Columbia University in 1983, he worked as a community organizer in Chicago.",Who is B. Obama and where was he born?,"A member of the Democratic Party, he was the first African-American  president of the United States. Obama previously served as a U.S. senator from Illinois from 2005 to 2008 and as an Illinois state senator from 1997 to 2004. Obama was born in Honolulu, Hawaii."
<generate_questions>,"In 1988, he enrolled in Harvard Law School, where he was the first black president of the Harvard Law Review. Turning to elective politics, he represented the 13th district in the Illinois Senate from 1997 until 2004, when he ran for the U.S. Senate. Obama received national attention in 2004 with his March Senate primary win, his well-received July Democratic National Convention keynote address, and his landslide November election to the Senate. In 2008, after a close primary campaign against Hillary Clinton, he was nominated by the Democratic Party for president. Obama was elected over Republican nominee John McCain in the general election and was inaugurated alongside his running mate Joe Biden, on January 20, 2009.",In what year did Obama run for the U.S. Senate?,"Turning to elective politics, he represented the 13th district in the Illinois Senate from 1997 until 2004, when he ran for the U.S. Senate. Obama received national attention in 2004 with his March Senate primary win, his well-received July Democratic National Convention keynote address, and his landslide November election to the Senate."
<generate_questions>,"In foreign policy, he ordered military interventions in Iraq and Syria in response to gains made by ISIL after the 2011 withdrawal from Iraq, promoted discussions that led to the 2015 Paris Agreement on global climate change, drew down U.S. troops in Afghanistan in 2016, initiated sanctions against Russia following its annexation of Crimea and again after interference in the 2016 U.S. elections, brokered the Joint Comprehensive Plan of Action nuclear deal with Iran, and normalized U.S. relations with Cuba. Obama nominated three justices to the Supreme Court: Sonia Sotomayor and Elena Kagan were confirmed as justices, while Merrick Garland was denied hearings or a vote from the Republican-majority Senate. Obama left office on January 20, 2017, and continues to reside in Washington, D.C. During Obama's terms as president, the United States' reputation abroad, as well as the American economy, significantly improved.",How many justices did Obama appoint to the Supreme Court?,"Obama nominated three justices to the Supreme Court: Sonia Sotomayor and Elena Kagan were confirmed as justices, while Merrick Garland was denied hearings or a vote from the Republican-majority Senate."
<generate_questions>,"Birds, at over 10,700 living species, are among the most diverse group of vertebrates. Using fossil evidence, paleontologists have identified over 900 distinct genera and more than 1,000 different species of non-avian dinosaurs. Dinosaurs are represented on every continent by both extant species (birds) and fossil remains. Through the first half of the 20th century, before birds were recognized as dinosaurs, most of the scientific community believed dinosaurs to have been sluggish and cold-blooded.",How many species of non-avian dinosaurs are found in the fossil record?,"Using fossil evidence, paleontologists have identified over 900 distinct genera and more than 1,000 different species of non-avian dinosaurs."
<generate_questions>,"Many dinosaurs were quite small, some measuring about 50 centimeters (20 inches) in length. The first dinosaur fossils were recognized in the early 19th century, with the name ""dinosaur"" (meaning ""terrible lizard"") being coined by Sir Richard Owen in 1841 to refer to these ""great fossil lizards"". Since then, mounted fossil dinosaur skeletons have been major attractions at museums worldwide, and dinosaurs have become an enduring part of popular culture. The large sizes of some dinosaurs, as well as their seemingly monstrous and fantastic nature, have ensured their regular appearance in best-selling books and films, such as Jurassic Park.",What did Sir Richard Owen call dinosaurs in 1841?,"The first dinosaur fossils were recognized in the early 19th century, with the name ""dinosaur"" (meaning ""terrible lizard"") being coined by Sir Richard Owen in 1841 to refer to these ""great fossil lizards""."
<generate_questions>,"They first appeared during the Triassic period, between 243 and 233.23 million years ago (mya), although the exact origin and timing of the evolution of dinosaurs is the subject of active research. They became the dominant terrestrial vertebrates after the Triassic–Jurassic extinction event 201.3 mya; their dominance continued throughout the Jurassic and Cretaceous periods. The fossil record shows that birds are feathered dinosaurs, having evolved from earlier theropods during the Late Jurassic epoch, and are the only dinosaur lineage known to have survived the Cretaceous–Paleogene extinction event approximately 66 mya. Dinosaurs can therefore be divided into avian dinosaurs—birds—and the extinct non-avian dinosaurs, which are all dinosaurs other than birds.",When did the Triassic–Jurassic extinction event occur?,They became the dominant terrestrial vertebrates after the Triassic–Jurassic extinction event 201.3 mya; their dominance continued throughout the Jurassic and Cretaceous periods.
